isWin,thinkingTimeTotal,score
True,0.47569902912621354,528.0
True,0.5438155339805826,528.0
True,0.551655172413793,536.0
True,0.5732533333333333,542.0
True,0.5546302521008404,520.0
True,0.4331443850267381,486.0
True,0.42014285714285704,520.0
True,0.5786842105263157,532.0
True,0.46488732394366206,544.0
True,0.394030303030303,530.0
True,0.38451648351648343,534.0
True,0.4210315789473685,532.0
True,0.3434809160305344,514.0
True,0.41379310344827586,536.0
True,0.3635656565656566,530.0
True,0.6437241379310343,536.0
True,0.5199199999999998,542.0
True,0.4173300970873785,528.0
True,0.42421212121212115,530.0
True,0.47241758241758236,534.0
True,0.4982650176678445,438.0
True,0.4761428571428571,548.0
True,0.48111392405063297,540.0
True,0.507056338028169,544.0
True,0.3807161290322581,502.0
True,0.4556962025316455,540.0
True,0.35665734265734267,508.0
True,0.325277108433735,538.0
True,0.38424175824175816,534.0
True,0.4037086092715233,504.0
True,0.43608045977011484,536.0
True,0.38944210526315787,532.0
True,0.4372349726775958,488.0
True,0.7484150943396227,500.0
True,0.420030534351145,514.0
True,0.414060606060606,530.0
True,0.4578072289156626,538.0
True,0.4191916167664669,496.0
True,0.4212,532.0
True,0.47738805970149245,546.0
True,0.4402133333333334,542.0
True,0.49422988505747123,536.0
True,0.47125287356321843,536.0
True,0.4139674418604649,472.0
True,1.0728455284552847,518.0
True,0.4630447761194029,546.0
True,0.4947052631578948,532.0
True,0.5821492537313434,546.0
True,0.47623809523809524,548.0
True,0.34244748858447494,470.0
