isWin,thinkingTimeTotal,score
True,130.99905980066444,1749.0
False,117.97276470588237,-367.0
False,112.00036627906982,515.0
True,132.43594602272725,1732.0
False,103.1667,100.0
False,114.0292487804878,281.0
False,110.51946539379477,670.0
True,90.37741860465115,1149.0
True,89.93547999999997,1716.0
True,107.30689169675091,1557.0
False,94.65744751381213,99.0
False,113.85352229299363,97.0
True,112.75170992366411,1362.0
False,113.5268494623656,-271.0
False,97.45321875000002,-382.0
False,90.67466470588235,526.0
False,84.64808300395255,-115.0
False,171.24433333333334,-365.0
False,115.88221568627452,-367.0
True,91.81435260115607,1734.0
False,100.83209793814434,510.0
False,132.5328173515982,77.0
False,103.57501754385966,-329.0
False,124.31665492957747,735.0
False,135.4918711111111,85.0
False,177.16365957446806,-366.0
False,150.7779607843137,-367.0
False,132.3132564705882,688.0
False,115.22485087719299,84.0
False,162.47744680851065,-366.0
False,118.67307570422541,440.0
True,146.70921886792453,1561.0
False,135.24809687500004,693.0
False,113.61728110599083,470.0
False,169.37146666666666,110.0
False,130.21144060475166,-195.0
False,143.4960491803279,109.0
False,163.57213409961685,263.0
False,143.90227450980393,-367.0
False,136.7088240165631,279.0
False,118.581600877193,84.0
True,132.28528033472801,1490.0
True,136.479625748503,1738.0
False,157.6947111111111,-365.0
False,115.52089552238805,-383.0
False,141.12541055045878,694.0
False,143.1598541666667,98.0
False,136.50319811320756,54.0
False,150.82499788135596,482.0
False,149.6817866666667,255.0
