isWin,thinkingTimeTotal,score
True,185.48751282051282,560.0
True,270.99991428571434,562.0
True,241.19982857142858,562.0
True,268.12809302325576,558.0
True,288.2308461538462,560.0
True,241.99941025641027,560.0
True,281.1715714285714,562.0
True,290.02831428571426,562.0
True,260.71779487179487,560.0
False,269.6748,-450.0
False,284.56246875000005,-456.0
True,216.4001142857143,562.0
True,264.4139230769231,560.0
True,260.06203225806456,564.0
True,215.23645714285715,562.0
True,276.7435897435897,560.0
True,280.1024102564102,560.0
True,263.22857142857146,562.0
True,341.0462790697675,558.0
True,251.5581627906977,558.0
False,252.77236363636365,-452.0
True,260.1144285714286,562.0
True,278.2575428571428,562.0
True,253.96591525423725,550.0
True,296.7692307692308,560.0
True,303.4857142857142,562.0
True,257.17137142857143,562.0
True,272.0572285714286,562.0
True,295.30771794871794,560.0
True,259.24445714285713,562.0
False,301.38253124999994,-456.0
True,283.09265714285715,562.0
True,239.2051612903226,564.0
True,247.84617948717954,560.0
True,219.91442857142854,562.0
True,325.5496,562.0
True,332.80423076923074,560.0
True,222.1024871794872,560.0
True,271.2050256410256,560.0
True,201.70612820512818,560.0
False,252.14144444444452,-448.0
False,252.83333333333337,-448.0
True,252.42834285714292,562.0
True,301.42845714285716,562.0
True,245.08568571428572,562.0
True,213.12794871794873,560.0
True,239.16958974358974,560.0
True,272.6857142857143,562.0
True,310.2144871794872,560.0
True,263.838976744186,558.0
