isWin,thinkingTimeTotal,score
False,0.592679012345679,-287.0
False,0.43541866028708137,-370.0
False,0.5960096153846153,-335.0
False,0.6228985507246376,-323.0
False,0.499890625,-322.0
False,0.8066451612903225,-291.0
False,0.6122857142857143,-263.0
False,0.5373763440860215,-331.0
False,0.4579852216748769,-396.0
False,0.5586480446927375,-210.0
False,0.5159840425531916,-133.0
False,0.6625930232558139,-299.0
False,0.5714126984126985,-361.0
False,0.6268805970149253,-323.0
False,0.48855737704918056,-242.0
False,0.7145,-384.0
False,0.5977586206896552,-309.0
False,0.5914193548387097,-291.0
False,0.4850060240963855,-251.0
False,0.5489411764705882,-367.0
False,0.9933533333333331,-190.0
False,0.4311986455981941,-288.0
False,0.7333111111111111,-385.0
False,0.5758636363636365,-312.0
False,0.5840416666666667,-366.0
False,0.6262048192771086,-288.0
False,0.7642285714285714,-234.0
False,0.44404800000000005,-134.0
False,0.49261397058823536,-231.0
False,0.5267022900763358,-194.0
False,0.5064367088607596,-203.0
False,0.49639310344827586,-189.0
False,0.5976956521739131,-301.0
True,0.5403222748815166,979.0
False,0.6735510204081632,-357.0
False,0.5067555555555556,-345.0
False,0.6268208955223882,-323.0
False,0.3952958115183245,-378.0
False,0.4543789954337897,-286.0
False,0.5475396825396825,-262.0
False,0.6021182795698925,-331.0
False,0.579781914893617,-83.0
False,0.5659245283018869,-296.0
False,0.6769384615384614,-322.0
False,0.39837149028077734,-295.0
False,0.6531428571428571,-357.0
False,0.5239404761904761,-308.0
False,0.5530397350993378,-351.0
False,0.626090909090909,-303.0
True,0.4541755725190838,962.0
